date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated,daily_vaccinations
2021-02-03,North Carolina,1026683,1643800,855450,170087,44276
2021-02-04,North Carolina,1063474,1715675,875375,186914,30525
2021-02-05,North Carolina,1110074,1718275,902198,206642,36979
2021-02-06,North Carolina,1171240,1718275,939554,230372,38929
2021-02-07,North Carolina,1242541,1718275,979112,262031,41555
2021-02-08,North Carolina,1274361,1718275,999151,273763,42660
2021-02-09,North Carolina,1287493,1722275,1005714,280303,44477
2021-02-10,North Carolina,1336079,1831875,1033527,300991,44199
2021-02-11,North Carolina,1382652,1938075,1050246,330758,45597
2021-02-12,North Carolina,1447413,1985050,1075646,370032,48191
2021-02-13,North Carolina,1523425,2047050,1114685,406851,50312
2021-02-14,North Carolina,1617435,2067725,1166560,448878,53556
2021-02-15,North Carolina,,,,,53826
2021-02-16,North Carolina,1684845,2074400,1198710,483989,56765
2021-02-17,North Carolina,1734825,2075375,1223476,509113,56964
2021-02-18,North Carolina,1782267,2119250,1238992,540933,57088
2021-02-19,North Carolina,1959215,2293000,1339762,616620,73115
2021-02-20,North Carolina,2008811,2363200,1353909,651958,69341
2021-02-21,North Carolina,2068505,2363200,1373952,691447,64439
2021-02-22,North Carolina,2105120,2363200,1385902,716027,64854
2021-02-23,North Carolina,2118218,2591415,1389913,724993,61910
2021-02-24,North Carolina,2164489,2770825,1406859,754213,61381
2021-02-25,North Carolina,2210412,2809745,1424748,782138,61164
2021-02-26,North Carolina,2284698,2906485,1469070,812003,46498
2021-02-27,North Carolina,2366027,2985475,1522457,839827,51031
2021-02-28,North Carolina,2467755,2985475,1593807,870088,57036
2021-03-01,North Carolina,2525579,2985475,1634790,886852,60066
2021-03-02,North Carolina,2545103,3028055,1646450,894708,60984
2021-03-03,North Carolina,2606912,3278075,1686160,916706,63203
2021-03-04,North Carolina,2661523,3301865,1713861,943505,64444
2021-03-05,North Carolina,2680413,3529525,1726621,949615,56531
2021-03-06,North Carolina,2760801,3624905,1779796,976589,56396
2021-03-07,North Carolina,2830672,3624905,1826058,1000175,51845
2021-01-12,North Dakota,39479,53525,33648,5815,
2021-01-13,North Dakota,40728,66725,34317,6395,1249
2021-01-14,North Dakota,42774,68675,35293,,1648
2021-01-15,North Dakota,46410,68675,38506,7555,2310
2021-01-16,North Dakota,,,,,2370
2021-01-17,North Dakota,,,,,2406
2021-01-18,North Dakota,,,,,2430
2021-01-19,North Dakota,56608,68675,47616,8641,2447
2021-01-20,North Dakota,57657,78150,48350,8954,2418
2021-01-21,North Dakota,59245,82850,48986,9881,2353
2021-01-22,North Dakota,64105,86750,51018,12428,2528
2021-01-23,North Dakota,68999,86750,53491,14412,2863
2021-01-24,North Dakota,73175,86750,56158,15589,3095
2021-01-25,North Dakota,75242,86750,57996,15680,3026
2021-01-26,North Dakota,75457,86750,58131,15742,2693
2021-01-27,North Dakota,77230,96425,58673,16952,2796
2021-01-28,North Dakota,80051,105900,60164,18244,2972
2021-01-29,North Dakota,86175,106875,63773,20700,3153
2021-01-30,North Dakota,91585,108050,66885,22968,3227
2021-01-31,North Dakota,97915,108050,70822,25359,3534
2021-02-01,North Dakota,99481,108050,71587,26136,3463
2021-02-02,North Dakota,99990,122050,71735,26493,3505
2021-02-03,North Dakota,103572,122150,72589,27418,3763
2021-02-04,North Dakota,106900,131625,74387,28847,3836
2021-02-05,North Dakota,112827,131625,78325,30829,3807
2021-02-06,North Dakota,120742,131625,81935,35123,4165
2021-02-07,North Dakota,126822,131625,85482,37651,4130
2021-02-08,North Dakota,129780,131625,87633,38417,4328
2021-02-09,North Dakota,129780,143400,87633,38417,4256
2021-02-10,North Dakota,130019,143400,88917,39154,3778
2021-02-11,North Dakota,133616,155375,90939,40721,3817
2021-02-12,North Dakota,139392,155375,94160,43276,3795
2021-02-13,North Dakota,144179,155375,96731,45474,3348
2021-02-14,North Dakota,148916,155375,99364,47552,3156
2021-02-15,North Dakota,,,,,3056
2021-02-16,North Dakota,153427,162175,102151,49263,3378
2021-02-17,North Dakota,154087,163150,102414,49615,3438
2021-02-18,North Dakota,156751,163150,104196,50438,3305
2021-02-19,North Dakota,182325,192100,122026,58099,6133
2021-02-20,North Dakota,188496,198650,124671,61624,6331
2021-02-21,North Dakota,194406,198650,126909,65293,6499
2021-02-22,North Dakota,196365,198650,128657,65503,6456
2021-02-23,North Dakota,196576,217480,128669,65701,6164
2021-02-24,North Dakota,199813,233550,130597,67006,6532
2021-02-25,North Dakota,203911,241100,133058,68641,6737
2021-02-26,North Dakota,212625,245200,138240,72168,4329
2021-02-27,North Dakota,225330,246570,146046,77018,5262
2021-02-28,North Dakota,234209,246570,151276,80647,5686
2021-03-01,North Dakota,238585,246570,154013,82284,6031
2021-03-02,North Dakota,238848,266470,154161,82398,6039
2021-03-03,North Dakota,241181,269610,155338,83505,5910
2021-03-04,North Dakota,246289,289160,158151,85789,6054
2021-03-05,North Dakota,255282,293900,163393,89500,6094
2021-03-06,North Dakota,264133,299900,170047,91668,5543
2021-03-07,North Dakota,272721,299900,176330,93863,5502
2021-01-12,Ohio,311890,866050,311867,,
2021-01-13,Ohio,329318,957700,329295,,17428
2021-01-14,Ohio,348424,967450,338961,,18267
2021-01-15,Ohio,375428,968250,361818,13552,21179
2021-01-16,Ohio,,,,,21926
2021-01-17,Ohio,,,,,22373
2021-01-18,Ohio,,,,,22672
2021-01-19,Ohio,472084,968250,444812,27139,22885
2021-01-20,Ohio,487481,1119175,456424,30910,22595
2021-01-21,Ohio,487481,1122300,456424,30910,19865
2021-01-22,Ohio,545499,1222225,500557,44761,24296
2021-01-23,Ohio,594924,1233075,535544,59153,27905
2021-01-24,Ohio,647104,1233075,575488,71344,31907
2021-01-25,Ohio,685622,1233075,608379,76949,33957
2021-01-26,Ohio,708026,1406950,627390,80329,33706
2021-01-27,Ohio,746249,1507000,657075,88834,36967
2021-01-28,Ohio,789869,1532450,683323,106035,43198
2021-01-29,Ohio,843099,1553900,716677,125794,42514
2021-01-30,Ohio,911004,1553900,759337,150948,45154
2021-01-31,Ohio,954013,1553900,789605,163622,43844
2021-02-01,Ohio,1004624,1553900,824597,179168,45572
2021-02-02,Ohio,1045139,1717875,854741,189502,48159
2021-02-03,Ohio,1085391,1812025,883630,200784,48449
2021-02-04,Ohio,1128082,1899800,908994,217948,48316
2021-02-05,Ohio,1177237,1901750,936321,239651,47734
2021-02-06,Ohio,1242487,1901750,975620,265445,47355
2021-02-07,Ohio,1293965,1901750,1006750,285694,48565
2021-02-08,Ohio,1346320,1901750,1038595,306072,48814
2021-02-09,Ohio,1373728,2070625,1059251,312725,46941
2021-02-10,Ohio,1406437,2151175,1077597,326984,45864
2021-02-11,Ohio,1459174,2293650,1107677,349390,47299
2021-02-12,Ohio,1540491,2293650,1162381,375675,51893
2021-02-13,Ohio,1613153,2315100,1200949,409487,52952
2021-02-14,Ohio,1691925,2315100,1241257,447697,56851
2021-02-15,Ohio,,,,,56733
2021-02-16,Ohio,1794982,2350375,1308980,482839,60179
2021-02-17,Ohio,1825178,2373775,1325650,496235,59820
2021-02-18,Ohio,1861434,2402050,1343458,514513,57466
2021-02-19,Ohio,1999736,2504150,1432292,563650,65606
2021-02-20,Ohio,2066995,2504150,1460227,602623,64835
2021-02-21,Ohio,2140688,2518775,1486509,649412,64109
2021-02-22,Ohio,2196607,2518775,1503346,688163,64736
2021-02-23,Ohio,2228732,2963035,1515448,708070,61964
2021-02-24,Ohio,2288128,3030705,1540690,741704,66136
2021-02-25,Ohio,2351582,3238385,1567124,778235,70021
2021-02-26,Ohio,2413164,3282255,1598364,808069,59061
2021-02-27,Ohio,2501854,3301865,1643306,851065,62123
2021-02-28,Ohio,2599806,3301865,1691901,899625,65588
2021-03-01,Ohio,2660844,3301865,1728576,923721,66320
2021-03-02,Ohio,2723208,3573485,1762491,951847,70639
2021-03-03,Ohio,2790056,3686255,1801523,978945,71704
2021-03-04,Ohio,2850454,3817675,1836564,1003486,71267
2021-03-05,Ohio,2918114,3972035,1881959,1025158,72136
2021-03-06,Ohio,3027215,4057505,1952141,1063390,75052
2021-03-07,Ohio,3131288,4057505,2010947,1108033,75926
2021-01-12,Oklahoma,157843,381375,109045,17463,
2021-01-13,Oklahoma,172403,396975,118786,22278,14560
2021-01-14,Oklahoma,187266,399900,160035,,14712
2021-01-15,Oklahoma,203410,424000,173162,28917,15189
2021-01-16,Oklahoma,,,,,13809
2021-01-17,Oklahoma,,,,,12982
2021-01-18,Oklahoma,,,,,12430
2021-01-19,Oklahoma,242093,424000,209687,30919,12036
2021-01-20,Oklahoma,251684,455275,217690,32308,11326
2021-01-21,Oklahoma,267434,490500,230902,34706,11453
2021-01-22,Oklahoma,287502,496350,247954,37435,12013
2021-01-23,Oklahoma,304806,496350,263315,39290,13104
2021-01-24,Oklahoma,322810,496350,279283,41289,14294
2021-01-25,Oklahoma,326546,496350,282679,41634,13446
2021-01-26,Oklahoma,328874,530675,284799,41814,12397
2021-01-27,Oklahoma,345144,569575,296308,46596,13351
2021-01-28,Oklahoma,363253,592975,308458,52465,13688
2021-01-29,Oklahoma,386688,594925,323625,60680,14169
2021-01-30,Oklahoma,410305,594925,339382,68510,15071
2021-01-31,Oklahoma,437985,594925,356891,78459,16454
2021-02-01,Oklahoma,443581,594925,360670,80231,16719
2021-02-02,Oklahoma,445675,616775,362529,80465,16686
2021-02-03,Oklahoma,462440,675850,372020,87596,16757
